Feedstock,Feedstock_Type,Temperature_C,Yield_Perc,Carbon_perc,Carbon_amount,Carbon _Biomass,Carbon_rec,
Soybean straw,Herbaceous,300.00,46.00,55.46,25.51,45,56.69,
Soybean straw,Herbaceous,400.00,38.00,55.98,21.27,45,47.27,
Soybean straw,Herbaceous,500.00,33.00,61.32,20.24,45,44.97,
Soybean straw,Herbaceous,600.00,32.00,60.58,19.39,45,43.08,
Soybean straw,Herbaceous,700.00,30.00,60.10,18.03,45,40.07,
Soybean straw,Herbaceous,800.00,30.00,62.55,18.77,45,41.70,
Chlorella,Herbaceous,300.00,52.00,45.40,23.61,45,52.46,
Chlorella,Herbaceous,400.00,35.00,59.04,20.66,45,45.92,
Chlorella,Herbaceous,500.00,37.00,57.12,21.13,45,46.97,
Chlorella,Herbaceous,600.00,28.00,53.61,15.01,45,33.36,
Chlorella,Herbaceous,700.00,26.00,58.39,15.18,45,33.74,
Chlorella,Herbaceous,800.00,27.00,56.86,15.35,45,34.12,
Peat,Woody biomass,190.00,85.87,53.96,46.34,45,102.97,
Peat,Woody biomass,210.00,77.27,55.93,43.22,45,96.04,
Peat,Woody biomass,230.00,68.08,56.42,38.41,45,85.36,
Peat,Woody biomass,230.00,91.38,49.46,45.20,45,100.44,
Peat,Woody biomass,260.00,85.05,51.12,43.48,45,96.62,
Peat,Woody biomass,290.00,78.18,53.95,42.18,45,93.73,
Sawdust,Woody biomass,190.00,70.31,57.36,40.33,45,89.62,
Sawdust,Woody biomass,210.00,66.31,65.09,43.16,45,95.91,
Sawdust,Woody biomass,230.00,57.85,69.73,40.34,45,89.64,
Sawdust,Woody biomass,230.00,92.80,54.26,50.35,45,111.90,
Sawdust,Woody biomass,260.00,76.34,58.36,44.55,45,99.00,
Sawdust,Woody biomass,290.00,74.31,59.25,44.03,45,97.84,
Paper sludge,Woody biomass,500.00,36.30,NA,NA,45,NA,
Paper sludge,Woody biomass,600.00,34.30,NA,NA,45,NA,
Paper sludge,Woody biomass,700.00,32.60,NA,NA,45,NA,
Willow,Woody biomass,500.00,NA,79.90,NA,45,NA,
Pine,Woody biomass,500.00,NA,81.40,NA,45,NA,
Miscanthus,Herbaceous,500.00,NA,76.30,NA,45,NA,
Miscanthus,Herbaceous,400.00,NA,74.80,NA,45,NA,
Miscanthus,Herbaceous,600.00,NA,85.10,NA,45,NA,
Oak wood,Woody biomass,350.00,NA,74.90,NA,45,NA,
Oak wood,Woody biomass,600.00,NA,87.50,NA,45,NA,
Corn stover,Woody biomass,350.00,NA,60.40,NA,45,NA,
Corn stover,Woody biomass,600.00,NA,70.60,NA,45,NA,
Poultry litter,Animal and human waste,350.00,NA,29.30,NA,45,NA,
Poultry litter,Animal and human waste,600.00,NA,23.60,NA,45,NA,
Sewage sludge,Biosolid Sludge,450.00,53.00,36.00,19.08,45,42.40,
Sewage sludge,Biosolid Sludge,450.00,47.00,29.90,14.05,45,31.23,
Sewage sludge,Biosolid Sludge,650.00,47.00,30.80,14.48,45,32.17,
Sewage sludge,Biosolid Sludge,650.00,45.00,29.20,13.14,45,29.20,
Sewage sludge,Biosolid Sludge,850.00,45.00,33.00,14.85,45,33.00,
Sewage sludge,Biosolid Sludge,850.00,38.00,29.60,11.25,45,25.00,
Conocarpus wastes,Woody biomass,200.00,51.33,64.19,32.95,45,73.22,
Conocarpus wastes,Woody biomass,400.00,31.86,76.83,24.48,45,54.40,
Conocarpus wastes,Woody biomass,600.00,27.22,82.93,22.57,45,50.16,
Conocarpus wastes,Woody biomass,800.00,23.19,84.97,19.70,45,43.79,
Straw,Herbaceous,400.00,35.91,57.59,20.68,45,45.96,
Straw,Herbaceous,400.00,36.65,57.92,21.23,45,47.17,
Straw,Herbaceous,600.00,32.48,59.17,19.22,45,42.71,
Straw,Herbaceous,600.00,32.48,59.09,19.19,45,42.65,
Straw,Herbaceous,600.00,30.89,60.80,18.78,45,41.74,
Straw,Herbaceous,200.00,81.99,30.33,24.87,45,55.26,
Straw,Herbaceous,200.00,78.93,31.07,24.52,45,54.50,
Straw,Herbaceous,200.00,74.97,31.94,23.95,45,53.21,
Straw,Herbaceous,400.00,58.51,33.58,19.65,45,43.66,
Lignosulfonate,Woody biomass,400.00,57.80,33.67,19.46,45,43.25,
Lignosulfonate,Woody biomass,400.00,57.24,33.60,19.23,45,42.74,
Lignosulfonate,Woody biomass,600.00,52.99,34.52,18.29,45,40.65,
Lignosulfonate,Woody biomass,600.00,48.12,34.60,16.65,45,37.00,
Lignosulfonate,Woody biomass,600.00,43.85,36.81,16.14,45,35.87,
Palm kernel shell,Woody biomass,500.00,53.50,87.85,47.00,45,104.44,
Others,Others,170.00,64.60,NA,NA,45,NA,
Others,Others,170.00,60.80,NA,NA,45,NA,
Others,Others,170.00,68.00,NA,NA,45,NA,
Others,Others,170.00,61.30,NA,NA,45,NA,
Others,Others,200.00,49.80,NA,NA,45,NA,
Others,Others,200.00,62.00,NA,NA,45,NA,
Others,Others,200.00,61.50,NA,NA,45,NA,
Others,Others,230.00,49.60,NA,NA,45,NA,
Others,Others,230.00,27.60,NA,NA,45,NA,
Others,Others,230.00,62.20,NA,NA,45,NA,
Others,Others,230.00,35.40,NA,NA,45,NA,
Others,Others,250.00,29.40,NA,NA,45,NA,
Others,Others,400.00,NA,NA,NA,45,NA,
Others,Others,500.00,NA,NA,NA,45,NA,
Others,Others,800.00,NA,NA,NA,45,NA,
Others,Others,290.00,NA,NA,NA,45,NA,
Others,Others,NA,NA,NA,NA,45,NA,
Arabica coffee husks,Herbaceous,350.00,36.00,NA,NA,45,NA,
Arabica coffee husks,Herbaceous,600.00,33.00,NA,NA,45,NA,
Pinechip,Woody biomass,350.00,49.10,NA,NA,45,NA,
Pinechip,Woody biomass,450.00,37.00,NA,NA,45,NA,
Pinechip,Woody biomass,550.00,32.40,NA,NA,45,NA,
Pinechip,Woody biomass,650.00,28.50,NA,NA,45,NA,
Wheatstraw,Herbaceous,350.00,39.10,NA,NA,45,NA,
Wheatstraw,Herbaceous,450.00,31.40,NA,NA,45,NA,
Wheatstraw,Herbaceous,550.00,29.50,NA,NA,45,NA,
Wheatstraw,Herbaceous,650.00,27.70,NA,NA,45,NA,
Wheatstraw pellet,Herbaceous,350.00,43.70,NA,NA,45,NA,
Wheatstraw pellet,Herbaceous,450.00,35.40,NA,NA,45,NA,
Wheatstraw pellet,Herbaceous,550.00,32.10,NA,NA,45,NA,
Wheatstraw pellet,Herbaceous,650.00,30.10,NA,NA,45,NA,
Canola plant,Herbaceous,900.00,27.90,79.86,22.28,45,49.51,
Soybean straw,Herbaceous,300.00,37.03,68.81,25.48,45,56.62,
Peanut shell,Herbaceous,300.00,36.91,68.27,25.20,45,56.00,
Feed,Animal and human waste,700.00,32.20,52.41,16.88,45,37.50,
Chicken manure,Animal and human waste,620.00,46.00,41.50,19.09,45,42.42,
Turkey manure,Animal and human waste,700.00,39.90,44.77,17.86,45,39.70,
Pig manure,Animal and human waste,620.00,46.00,50.70,23.32,45,51.83,
Pig manure,Animal and human waste,700.00,36.40,44.06,16.04,45,35.64,
Cow manure,Animal and human waste,700.00,36.70,45.91,16.85,45,37.44,
Cow manure,Animal and human waste,300.00,58.00,51.30,29.75,45,66.12,
Pine wood,Woody biomass,300.00,43.70,71.30,31.16,45,69.24,
Coffee husk,Herbaceous,350.00,39.82,69.96,27.86,45,61.91,
Neem press seed cake,Herbaceous,450.00,38.30,52.39,20.07,45,44.59,
Palm shell,Woody biomass,500.00,35.50,60.12,21.34,45,47.43,
Hinoki cypress,Herbaceous,500.00,23.30,85.79,19.99,45,44.42,
Lignin,Woody biomass,500.00,45.69,85.90,39.25,45,87.22,
Algae,Herbaceous,500.00,32.00,45.26,14.48,45,32.18,
Walnut shell,Woody biomass,500.00,30.00,77.97,23.39,45,51.98,
Rubber wood,Woody biomass,500.00,24.25,87.17,21.14,45,46.97,
Redcedar sapwood,Woody biomass,500.00,30.90,85.80,26.51,45,58.92,
Redcedar heartwood,Woody biomass,500.00,21.00,88.88,18.66,45,41.48,
Corn straw,Herbaceous,550.00,24.00,92.83,22.28,45,49.51,
Wheat straw,Herbaceous,500.00,26.00,56.00,14.56,45,32.36,
Sweet sorghum,Herbaceous,500.00,23.80,23.80,5.66,45,12.59,
Corn stalks,Herbaceous,550.00,NA,72.28,NA,45,NA,
Yellow poplar,Woody biomass,500.00,5.10,76.30,3.89,45,8.65,
Corn cobs,Herbaceous,500.00,18.90,77.60,14.67,45,32.59,
Pine sawdust,Woody biomass,550.00,NA,70.68,NA,45,NA,
Rice husk,Herbaceous,500.00,26.00,45.20,11.75,45,26.12,
Pine sawdust,Woody biomass,500.00,NA,70.68,NA,45,NA,
Douglas fir,Woody biomass,480.00,11.20,75.80,8.49,45,18.87,
Lvory nut,Woody biomass,500.00,15.82,69.59,11.01,45,24.46,
Bamboo,Woody biomass,500.00,24.40,81.70,19.93,45,44.30,
"Rice husk	",Herbaceous,550.00,38.86,44.73,17.38,45,38.63,
Brown macroalga,Herbaceous,375.00,56.08,30.67,17.20,45,38.22,
Others,Others,400.00,25.30,NA,NA,45,NA,
Others,Others,500.00,22.50,NA,NA,45,NA,
Others,Others,600.00,17.20,NA,NA,45,NA,
Others,Others,700.00,14.40,NA,NA,45,NA,
Others,Others,800.00,13.90,NA,NA,45,NA,
Others,Others,400.00,32.20,NA,NA,45,NA,
Others,Others,500.00,25.40,NA,NA,45,NA,
Others,Others,600.00,21.80,NA,NA,45,NA,
Others,Others,700.00,17.60,NA,NA,45,NA,
Others,Others,800.00,17.50,NA,NA,45,NA,
Pine ,Woody biomass,350.00,49.40,NA,NA,45,NA,
Pine ,Woody biomass,450.00,37.20,NA,NA,45,NA,
Pine ,Woody biomass,550.00,32.50,NA,NA,45,NA,
Pine ,Woody biomass,650.00,30.60,NA,NA,45,NA,
"Rice husk	",Herbaceous,350.00,56.00,NA,NA,45,NA,
"Rice husk	",Herbaceous,450.00,50.40,NA,NA,45,NA,
"Rice husk	",Herbaceous,550.00,46.30,NA,NA,45,NA,
"Rice husk	",Herbaceous,650.00,43.40,NA,NA,45,NA,
Wheat straw,Herbaceous,350.00,39.30,NA,NA,45,NA,
Wheat straw,Herbaceous,450.00,31.70,NA,NA,45,NA,
Wheat straw,Herbaceous,550.00,29.80,NA,NA,45,NA,
Wheat straw,Herbaceous,650.00,28.00,NA,NA,45,NA,
Others,Others,500.00,20.00,NA,NA,45,NA,
Others,Others,290.00,80.00,NA,NA,45,NA,
Others,Others,400.00,25.70,NA,NA,45,NA,
Others,Others,500.00,22.50,NA,NA,45,NA,
Others,Others,600.00,17.10,NA,NA,45,NA,
Others,Others,700.00,14.10,NA,NA,45,NA,
Others,Others,800.00,13.00,NA,NA,45,NA,
Others,Others,400.00,32.40,NA,NA,45,NA,
Others,Others,500.00,25.30,NA,NA,45,NA,
Others,Others,600.00,22.20,NA,NA,45,NA,
Others,Others,700.00,17.60,NA,NA,45,NA,
Others,Others,800.00,17.60,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,300.00,62.50,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,400.00,28.50,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,500.00,27.30,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,300.00,"58.10	",NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,400.00,25.50,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,500.00,27.00,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,300.00,64.20,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,400.00,27.50,NA,NA,45,NA,
Sewage sludge,Biosolid Sludge,500.00,31.00,NA,NA,45,NA,
Soybean stover,Herbaceous,300.00,NA,68.80,NA,45,NA,
Soybean stover,Herbaceous,700.00,NA,82.00,NA,45,NA,
Peanut shells,Woody biomass,300.00,NA,68.30,NA,45,NA,
Peanut shells,Woody biomass,400.00,NA,59.50,NA,45,NA,
Peanut shells,Woody biomass,700.00,NA,83.80,NA,45,NA,
Rice straw,Herbaceous,300.00,NA,64.30,NA,45,NA,
Rice straw,Herbaceous,600.00,NA,84.30,NA,45,NA,
Pepper stem,Herbaceous,600.00,NA,74.30,NA,45,NA,
Alligator flag,Herbaceous,600.00,NA,59.40,NA,45,NA,
Cassava waste,Herbaceous,350.00,NA,58.50,NA,45,NA,
Cassava waste,Herbaceous,550.00,NA,"68,9	0",NA,45,NA,
Cassava waste,Herbaceous,750.00,NA,62.40,NA,45,NA,
Wood chip,Woody biomass,620.00,NA,82.00,NA,45,NA,
Paper sludge and wheat husks,Biosolid Sludge,500.00,NA,50.80,NA,45,NA,
Sewage sludge,Biosolid Sludge,600.00,NA,18.50,NA,45,NA,
Mulberry wood,Woody biomass,350.00,NA,67.90,NA,45,NA,
Mulberry wood,Woody biomass,450.00,NA,70.80,NA,45,NA,
Mulberry wood,Woody biomass,550.00,NA,77.00,NA,45,NA,
Mulberry wood,Woody biomass,650.00,NA,80.10,NA,45,NA,
Corn cobs,Herbaceous,350.00,NA,69.60,NA,45,NA,
Corn cobs,Herbaceous,450.00,NA,"76,30	",NA,45,NA,
Corn cobs,Herbaceous,550.00,NA,"81,7	0",NA,45,NA,
Corn cobs,Herbaceous,650.00,NA,82.10,NA,45,NA,
"Pine wood	",Woody biomass,700.00,NA,79.00,NA,45,NA,
Jarrah wood,Woody biomass,700.00,NA,85.00,NA,45,NA,
Loblolly pine wood,Woody biomass,300.00,NA,69.20,NA,45,NA,
Loblolly pine wood,Woody biomass,450.00,NA,80.10,NA,45,NA,
Loblolly pine wood,Woody biomass,600.00,NA,85.60,NA,45,NA,
Hamlin citrus wood,Woody biomass,300.00,NA,"64,40	",NA,45,NA,
Hamlin citrus wood,Woody biomass,450.00,NA,"	67,60",NA,45,NA,
Hamlin citrus wood,Woody biomass,600.00,NA,78.20,NA,45,NA,
Eucalyptus sawdust,Woody biomass,350.00,NA,68.40,NA,45,NA,
Eucalyptus sawdust,Woody biomass,550.00,NA,83.80,NA,45,NA,
Cotton stem,Herbaceous,350.00,NA,62.40,NA,45,NA,
Cotton stem,Herbaceous,550.00,NA,72.10,NA,45,NA,
Gracilaria edulis,Herbaceous,450.00,61.80,NA,NA,45,NA,
Eucheuma spinosum,Herbaceous,450.00,61.70,NA,NA,45,NA,
Kappaphycus alvarezii,Herbaceous,450.00,59.20,NA,NA,45,NA,
Saccharina japonica,Herbaceous,450.00,49.70,NA,NA,45,NA,
Sargassum sp,Herbaceous,450.00,61.90,NA,NA,45,NA,
Undaria pinnatifida,Herbaceous,450.00,62.40,NA,NA,45,NA,
Lessonia Nigrescens,Herbaceous,600.00,14.00,NA,NA,45,NA,
Lessonia Nigrescens,Herbaceous,900.00,16.00,NA,NA,45,NA,
Eucheuma Cottonii,Herbaceous,800.00,7.50,NA,NA,45,NA,
Cladophora sp,Herbaceous,550.00,31.00,NA,NA,45,NA,
Saccharina japonica,Herbaceous,450.00,33.00,NA,NA,45,NA,
Chlorella vulgaris,Herbaceous,500.00,31.00,NA,NA,45,NA,
Chlorella vulgaris,Herbaceous,500.00,26.90,NA,NA,45,NA,
Spirulina sp,Herbaceous,500.00,25.96,NA,NA,45,NA,
Tetraselmis chui,Herbaceous,500.00,37.00,NA,NA,45,NA,
Nannochloropsis oculata,Herbaceous,500.00,36.50,NA,NA,45,NA,
Nannochloropsis sp,Herbaceous,500.00,24.20,NA,NA,45,NA,
Bamboo,Woody biomass,400.00,44.50,NA,NA,45,NA,
Sawdust plus sewage sludge,Biosolid Sludge,500.00,44.50,NA,NA,45,NA,
Sawdust plus sewage sludge,Biosolid Sludge,600.00,41.10,NA,NA,45,NA,
Vermicompost,Biosolid Sludge,400.00,78.11,NA,NA,45,NA,
Vermicompost,Biosolid Sludge,500.00,72.44,NA,NA,45,NA,
Vermicompost,Biosolid Sludge,600.00,71.94,NA,NA,45,NA,
Vermicompost,Biosolid Sludge,700.00,70.56,NA,NA,45,NA,
Pig manure,Animal and human waste,400.00,58.22,NA,NA,45,NA,
Pig manure,Animal and human waste,700.00,48.87,NA,NA,45,NA,
Cow manure,Animal and human waste,500.00,57.20,NA,NA,45,NA,
Wastewater sludge,Biosolid Sludge,500.00,45.90,NA,NA,45,NA,
Waste paper,Biosolid Sludge,500.00,36.60,NA,NA,45,NA,
Sawdust,Herbaceous,500.00,28.30,NA,NA,45,NA,
Waterweeds,Herbaceous,500.00,58.40,NA,NA,45,NA,
Peanut shell,Woody biomass,500.00,32.00,NA,NA,45,NA,
Pig manure,Animal and human waste,200.00,98.00,NA,NA,45,NA,
Pig manure,Animal and human waste,350.00,57.50,NA,NA,45,NA,
Pig manure,Animal and human waste,500.00,38.50,NA,NA,45,NA,
Pig manure,Animal and human waste,650.00,35.80,NA,NA,45,NA,
Wheat straw,Herbaceous,200.00,99.30,NA,NA,45,NA,
Wheat straw,Herbaceous,350.00,52.50,NA,NA,45,NA,
Wheat straw,Herbaceous,500.00,29.80,NA,NA,45,NA,
Wheat straw,Herbaceous,650.00,"	26.80",NA,NA,45,NA,
Conocarpus waste,Woody biomass,200.00,51.33,NA,NA,45,NA,
Conocarpus waste,Woody biomass,400.00,31.86,NA,NA,45,NA,
Conocarpus waste,Woody biomass,600.00,27.22,NA,NA,45,NA,
Conocarpus waste,Woody biomass,800.00,23.19,NA,NA,45,NA,
Sewage sludge,Animal and human waste,500.00,63.10,NA,NA,45,NA,
Sewage sludge,Animal and human waste,600.00,60.25,NA,NA,45,NA,
Sewage sludge,Animal and human waste,700.00,58.66,NA,NA,45,NA,
Sewage sludge,Animal and human waste,800.00,54.71,NA,NA,45,NA,
Sewage sludge,Animal and human waste,900.00,53.31,NA,NA,45,NA,
Pitch pine,Woody biomass,300.00,60.70,NA,NA,45,NA,
Pitch pine,Woody biomass,400.00,33.50,NA,NA,45,NA,
Pitch pine,Woody biomass,500.00,14.40,NA,NA,45,NA,
Apple tree branch,Woody biomass,500.00,16.70,NA,NA,45,NA,
Apple tree branch,Woody biomass,600.00,16.60,NA,NA,45,NA,
Apple tree branch,Woody biomass,700.00,15.80,NA,NA,45,NA,
Apple tree branch,Woody biomass,800.00,15.50,NA,NA,45,NA,
Oak tree,Woody biomass,500.00,28.60,NA,NA,45,NA,
Oak tree,Woody biomass,600.00,22.00,NA,NA,45,NA,
Oak tree,Woody biomass,,20.00,NA,NA,45,NA,
Conocarpus wastes,Herbaceous,200.00,NA,64.19,NA,45,NA,
Conocarpus wastes,Herbaceous,400.00,NA,76.83,NA,45,NA,
Conocarpus wastes,Herbaceous,600.00,NA,82.93,NA,45,NA,
Conocarpus wastes,Herbaceous,800.00,NA,84.97,NA,45,NA,
Wastewater sludge,Animal and human waste,300.00,72.30,NA,NA,45,NA,
Wastewater sludge,Animal and human waste,400.00,63.70,NA,NA,45,NA,
Wastewater sludge,Animal and human waste,500.00,57.90,NA,NA,45,NA,
Wastewater sludge,Animal and human waste,700.00,52.40,NA,NA,45,NA,
Corn stover,Herbaceous,600.00,NA,41.57,NA,45,NA,
Corn stover,Herbaceous,600.00,NA,39.33,NA,45,NA,
Corn stover,Herbaceous,600.00,NA,15.81,NA,45,NA,
Corn stover,Herbaceous,600.00,NA,7.91,NA,45,NA,
Straw,Herbaceous,700.00,NA,53.85,NA,45,NA,
Rice straw,Herbaceous,600.00,NA,37.87,NA,45,NA,
Rice-straw,Herbaceous,500.00,NA,4.75,NA,45,NA,
Rice-straw,Herbaceous,600.00,NA,80.91,NA,45,NA,
Rice-straw,Herbaceous,500.00,NA,4.36,NA,45,NA,
Rice-straw,Herbaceous,600.00,NA,18.49,NA,45,NA,
Wheat straw,Herbaceous,400.00,NA,82.55,NA,45,NA,
Apple wood charcoal,Woody biomass,400.00,NA,74.70,NA,45,NA,
Bamboo,Woody biomass,600.00,NA,"67.48	",NA,45,NA,
Poultry litter,Animal and human waste,400.00,NA,53.45,NA,45,NA,
Wheat straw,Herbaceous,400.00,NA,65.79,NA,45,NA,
Solid swine,Animal and human waste,250.00,NA,47.46,NA,45,NA,
Poultry litter,Animal and human waste,250.00,NA,40.20,NA,45,NA,
Nut shells,Woody biomass,500.00,NA,77.50,NA,45,NA,
Peanut shells,Woody biomass,400.00,NA,61.00,NA,45,NA,
Rice husk,Woody biomass,700.00,28.00,NA,NA,45,NA,
Rice straw,Herbaceous,700.00,20.00,NA,NA,45,NA,
Red pepper stalk,Herbaceous,650.00,21.00,NA,NA,45,NA,
Corn stalk,Herbaceous,600.00,24.00,NA,NA,45,NA,
Coconut shell,Woody biomass,500.00,31.00,NA,NA,45,NA,
Walnut shell,Woody biomass,300.00,67.00,NA,NA,45,NA,
Pine wood,Woody biomass,700.00,25.00,NA,NA,45,NA,
Sawdust,Woody biomass,700.00,25.00,NA,NA,45,NA,
Bamboo sawdust,Woody biomass,700.00,25.00,NA,NA,45,NA,
Sunflower seed hulls,Herbaceous,700.00,25.00,NA,NA,45,NA,
Chlorella,Herbaceous,630.00,25.00,NA,NA,45,NA,
Cladophora,Herbaceous,750.00,25.00,NA,NA,45,NA,
Lyngbya,Herbaceous,600.00,40.00,NA,NA,45,NA,
Microcystis,Herbaceous,600.00,40.00,NA,NA,45,NA,
Nannochloropsis,Herbaceous,550.00,25.00,NA,NA,45,NA,
Rhizoclonium,Herbaceous,700.00,38.00,NA,NA,45,NA,
C. vulgaris,Herbaceous,500.00,31.00,NA,NA,45,NA,
D. tertiolecta,Herbaceous,600.00,29.00,NA,NA,45,NA,
Wheat straw,Herbaceous,300.00,NA,63.29,NA,45,NA,
Wheat straw,Herbaceous,450.00,NA,70.20,NA,45,NA,
Wheat straw,Herbaceous,600.00,NA,77.79,NA,45,NA,
Pig manure,Animal and human waste,300.00,NA,36.48,NA,45,NA,
Pig manure,Animal and human waste,450.00,NA,33.71,NA,45,NA,
Pig manure,Animal and human waste,600.00,NA,35.55,NA,45,NA,
Canola straw,Herbaceous,500.00,NA,66.80,NA,45,NA,
Sawdust,Herbaceous,500.00,NA,85.90,NA,45,NA,
Wheat straw,Herbaceous,500.00,NA,73.40,NA,45,NA,
Manure pellet,Animal and human waste,500.00,NA,17.00,NA,45,NA,
Pine,Woody biomass,300.00,NA,61.60,NA,45,NA,
Rice husk,Herbaceous,300.00,NA,51.62,NA,45,NA,
Bagasse,Herbaceous,500.00,NA,85.59,NA,45,NA,
Coconut shell,Woody biomass,500.00,NA,84.44,NA,45,NA,
Rice straw,Herbaceous,500.00,NA,86.28,NA,45,NA,
Palm kernel shell,Woody biomass,500.00,NA,87.85,NA,45,NA,
Trunk,Woody biomass,500.00,NA,89.31,NA,45,NA,
Bark,Woody biomass,500.00,NA,84.84,NA,45,NA,
Sludge,Animal and human waste,400.00,NA,22.60,NA,45,NA,
Sludge,Animal and human waste,450.00,NA,18.60,NA,45,NA,
Sludge,Animal and human waste,500.00,NA,17.70,NA,45,NA,
Sludge,Animal and human waste,550.00,NA,19.60,NA,45,NA,
Cow dung,Animal and human waste,400.00,NA,60.20,NA,45,NA,
Cow dung,Animal and human waste,600.00,NA,58.76,NA,45,NA,
Pig manure,Animal and human waste,400.00,NA,44.13,NA,45,NA,
Pig manure,Animal and human waste,600.00,NA,42.25,NA,45,NA,
Corn,Herbaceous,300.00,41.50,NA,NA,45,NA,
Corn,Herbaceous,350.00,37.10,NA,NA,45,NA,
Corn,Herbaceous,400.00,33.70,NA,NA,45,NA,
Corn,Herbaceous,450.00,31.00,NA,NA,45,NA,
Corn,Herbaceous,500.00,29.30,NA,NA,45,NA,
Corn,Herbaceous,550.00,27.60,NA,NA,45,NA,
Corn,Herbaceous,600.00,27.30,NA,NA,45,NA,
Dairy manure,Animal and human waste,300.00,40.30,NA,NA,45,NA,
Dairy manure,Animal and human waste,350.00,33.40,NA,NA,45,NA,
Dairy manure,Animal and human waste,400.00,30.70,NA,NA,45,NA,
Dairy manure,Animal and human waste,450.00,27.80,NA,NA,45,NA,
Dairy manure,Animal and human waste,500.00,26.70,NA,NA,45,NA,
Dairy manure,Animal and human waste,550.00,26.10,NA,NA,45,NA,
Dairy manure,Animal and human waste,600.00,25.80,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,300.00,24.70,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,400.00,37.70,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,450.00,29.00,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,500.00,30.00,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,550.00,27.70,NA,NA,45,NA,
Digested dairy manure,Animal and human waste,600.00,26.40,NA,NA,45,NA,
Food,Biosolid Sludge,300.00,49.00,NA,NA,45,NA,
Food,Biosolid Sludge,400.00,47.10,NA,NA,45,NA,
Food,Biosolid Sludge,500.00,36.00,NA,NA,45,NA,
Food,Biosolid Sludge,600.00,36.80,NA,NA,45,NA,
Hazelnut,Woody biomass,350.00,39.20,NA,NA,45,NA,
Hazelnut,Woody biomass,400.00,35.00,NA,NA,45,NA,
Hazelnut,Woody biomass,450.00,33.10,NA,NA,45,NA,
Hazelnut,Woody biomass,500.00,30.90,NA,NA,45,NA,
Hazelnut,Woody biomass,550.00,30.20,NA,NA,45,NA,
Hazelnut,Woody biomass,600.00,28.10,NA,NA,45,NA,
Paper,Woody biomass,300.00,67.00,NA,NA,45,NA,
Paper,Woody biomass,400.00,60.60,NA,NA,45,NA,
Paper,Woody biomass,500.00,59.90,NA,NA,45,NA,
Paper,Woody biomass,600.00,62.40,NA,NA,45,NA,
Pine,Woody biomass,300.00,57.30,NA,NA,45,NA,
Pine,Woody biomass,350.00,35.60,NA,NA,45,NA,
Pine,Woody biomass,400.00,28.80,NA,NA,45,NA,
Pine,Woody biomass,450.00,25.60,NA,NA,45,NA,
Pine,Woody biomass,500.00,23.50,NA,NA,45,NA,
Pine,Woody biomass,550.00,20.00,NA,NA,45,NA,
Pine,Woody biomass,600.00,22.40,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,300.00,74.70,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,350.00,68.50,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,400.00,66.50,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,450.00,62.30,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,500.00,65.80,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,550.00,63.60,NA,NA,45,NA,
Poultry Manurey,Animal and human waste,600.00,64.70,NA,NA,45,NA,
Others,Others,350.00,46.50,NA,NA,45,NA,
Others,Others,450.00,36.40,NA,NA,45,NA,
Others,Others,550.00,33.80,NA,NA,45,NA,
Others,Others,650.00,30.50,NA,NA,45,NA,
Others,Others,350.00,43.90,NA,NA,45,NA,
Others,Others,450.00,35.80,NA,NA,45,NA,
Others,Others,550.00,33.10,NA,NA,45,NA,
Others,Others,650.00,29.60,NA,NA,45,NA,
Walnut shells,Woody biomass,200.00,NA,51.17,NA,45,NA,
Walnut shells,Woody biomass,300.00,NA,65.56,NA,45,NA,
Walnut shells,Woody biomass,400.00,NA,71.72,NA,45,NA,
Walnut shells,Woody biomass,500.00,NA,79.89,NA,45,NA,
Walnut shells,Woody biomass,600.00,NA,87.50,NA,45,NA,
Walnut shells,Woody biomass,700.00,NA,89.68,NA,45,NA,
Walnut shells,Woody biomass,800.00,NA,94.96,NA,45,NA,
Flower waste,Herbaceous,420.00,57.00,95.80,54.61,45,121.35,
Flower waste,Herbaceous,450.00,55.70,NA,NA,45,NA,
Flower waste,Herbaceous,480.00,53.90,NA,NA,45,NA,
Flower waste,Herbaceous,500.00,52.60,NA,NA,45,NA,
Wood mixture,Woody biomass,450.00,NA,63.58,NA,45,NA,
Wood mixture,Woody biomass,500.00,NA,63.84,NA,45,NA,
Wood mixture,Woody biomass,550.00,NA,62.83,NA,45,NA,
